dan_1-del_1,dan_1-del_2,dan_1-del_3,dan_1-del_4,dan_1-del_5,dan_1-del_6,dan_1-del_7,dan_1-del_8,dan_1-del_9,dan_1-del_10,dan_2-del_1,dan_2-del_2,dan_2-del_3,dan_2-del_4,dan_2-del_5,dan_2-del_6,dan_2-del_7,dan_2-del_8,dan_2-del_9,dan_2-del_10,dan_3-del_1,dan_3-del_2,dan_3-del_3,dan_3-del_4,dan_3-del_5,dan_3-del_6,dan_3-del_7,dan_3-del_8,dan_3-del_9,dan_3-del_10,dan_4-del_1,dan_4-del_2,dan_4-del_3,dan_4-del_4,dan_4-del_5,dan_4-del_6,dan_4-del_7,dan_4-del_8,dan_4-del_9,dan_4-del_10,
Alex Fričovsky_6,Jakob Hostnik_1,Eva Klemenčič_5,Izza Šink_5,Nace Bukovnik_4,Tina Družinec_5,Katja Eržen_5,Hana Triller_7,Veronika Sever_1,Aljaž Sever_3,Katja Eržen_5,Neža Klemenčič_4,Manca Tavčar_6,Mark Ažman_6,Martin Nastran_3,Jerca Tavčar_5,Alex Fričovsky_6,Patricija Jakopič_9,Ema Šabec_5,Eva Klemenčič_5,Hana Triller_7,Jera Košenina_5,Klara Zavrl_8,Bor Martinjak_5,Eva Družinec_9,Eva Klemenčič_5,Patricija Jakopič_9,Katja Eržen_5,Aljaž Sever_3,Alex Fričovsky_6,Izza Šink_5,Eva Klemenčič_5,Jerca Tavčar_5,Patricija Jakopič_9,Klara Zavrl_8,Alex Fričovsky_6,Dora Hostnik_5,Jakob Hostnik_1,Maša Bertonelj_7,Zala Šardii_1,
Patricija Jakopič_9,Dora Hostnik_5,Neža Klemenčič_4,Pia Sušnik Selak_5,Lina Šabec_8,Eva Družinec_9,Vito Hostnik_7,Zarja Tepina_8,Sara Rupar_5,Manca Tavčar_6,Jakob Hostnik_1,Anja Triller_2,Jerca Kokaš_2,Laura Sušnik Selak_7,Zarja Tepina_8,Drejc Eržen_5,Jaka Jakopič_6,Lovro Košenina_4,Pija Porenta_6,Hana Triller_7,Anja Triller_2,Martin Nastran_3,Drejc Eržen_5,Eva Segulin_2,Ema Šabec_5,Lina Šabec_8,Lovro Košenina_4,Vito Hostnik_7,Ajda Tepina_3,Jaka Jakopič_6,Pia Sušnik Selak_5,Katja Eržen_5,Pija Porenta_6,Lovro Košenina_4,Jerca Kokaš_2,Jaka Jakopič_6,Nace Bukovnik_4,Martin Nastran_3,Nuša Bergant_2,Nika Šardi_4,
Jaka Jakopič_6,Zala Bertoncelj_4,Zala Šardii_1,Val Korenčič_1,Pija Porenta_6,Vid Martinjak_3,Martin Nastran_3,Ajda Tepina_3,,Jerca Tavčar_5,Vito Hostnik_7,Maša Bertonelj_7,Julija Škrabec_6,Jakob Segulin_4,Ajda Tepina_3,Bor Ažman_3,Aljaž Sever_3,Jera Košenina_5,Monik Grom_6,Eva Družinec_9,Nace Šink_2,Manca Tavčar_6,Zale Eržen_8,Nika Kermelj_5,Julija Škrabec_6,Zarja Tepina_8,Jakob Hostnik_1,Dora Hostnik_5,Zala Šardii_1,Neža Klemenčič_4,Andrej Škrabec_4,Aljaž Sever_3,Eva Segulin_2,Johan Nastran_1,Drejc Eržen_5,Jera Košenina_5,Ajda Tepina_3,Anja Triller_2,Lina Šabec_8,Urban Poretna_3,
Lovro Košenina_4,Julija Škrabec_6,Nika Šardi_4,Lan Korenčič_8,Bor Ažman_3,Sara Potočnik_2,Johan Nastran_1,Martin Verčič_3,,Anja Triller_2,Dora Hostnik_5,Zale Eržen_8,Rebeka Rupar_2,Ema Jugovic_9,Vid Martinjak_3,Pia Sušnik Selak_5,Veronika Sever_1,Klara Zavrl_8,Urban Kalan_4,Zea Juhant_3,Nika Bergant_4,Jerca Tavčar_5,Zala Kajba_5,Sara Rupar_5,Urška Verčič_1,Laura Sušnik Selak_7,Jerca Kokaš_2,Nace Bukovnik_4,Nika Šardi_4,Veronika Sever_1,Urban Kalan_4,Veronika Sever_1,Jerneja Grom_4,Nace Šink_2,Nika Kermelj_5,Neža Klemenčič_4,Klavdija Ravnikar_6,Zala Bertoncelj_4,Zarja Tepina_8,Bor Martinjak_5,
Jera Košenina_5,Hana Segulin_6,Ajda Mihovec_1,,Andrej Škrabec_4,,Nace Šink_2,Jerca Trilar_2,,Maša Bertonelj_7,Nace Bukovnik_4,Tina Družinec_5,Martina Rupar_4,,Teja Jezeršek_6,Andrej Škrabec_4,Neža Žargi_3,Izza Šink_5,Jernej Prevodnik_2,Hana Segulin_6,Nuša Bergant_2,Sara Štefelin_6,Brina Mediževec_1,Jaka Logonder_5,Martin Jocif_9,Zea Juhant_3,Urban Poretna_3,Johan Nastran_1,Jerneja Grom_4,Zala Bertoncelj_4,Jaka Logonder_5,Vito Hostnik_7,Sara Štefelin_6,Zale Eržen_8,Jernej Prevodnik_2,Manca Tavčar_6,Nejc Potočnik_6,Tina Družinec_5,Julija Škrabec_6,Laura Sušnik Selak_7,
Klara Zavrl_8,Brina Mediževec_1,Urška Verčič_1,,,,Drejc Eržen_5,,,Jerca Kokaš_2,Johan Nastran_1,Zala Kajba_5,Zala Križnar_5,,Martin Verčič_3,Sara Rupar_5,Jerneja Grom_4,Nace Šink_2,Tjaš Cegnar_5,Manca Potočnik_8,Tina Družinec_5,Klavdija Ravnikar_6,Patricija Ravnikar_4,Žan Dražetič_2,Leja Vončina_3,Rebeka Rupar_2,Teja Jezeršek_6,Maša Bertonelj_7,Manca Potočnik_8,Izza Šink_5,Peter Štefančič_4,Hana Triller_7,Eva Jamnik_6,Bor Ažman_3,,Špela Bergant_4,Nika Potočnik_8,Ema Šabec_5,Ajda Mihovec_1,Sara Rupar_5,
Zale Eržen_8,Jerneja Grom_4,Klavdija Ravnikar_6,,,,Ema Šabec_5,,,Nika Bergant_4,Zala Bertoncelj_4,Ajda Mihovec_1,Lucija Šifrer_4,,Brina Mediževec_1,Nejc Potočnik_6,Jerca Trilar_2,Nika Bergant_4,Leja Vončina_3,Ana Eržen_2,Neža Žargi_3,Živa Zupančič_2,Karmen Logonder_4,,Ema Jugovic_9,Martina Rupar_4,Urban Kalan_4,Bor Ažman_3,Ana Štefančič_1,Špela Bergant_4,Žan Dražetič_2,Nika Bergant_4,Živa Rupar_5,Vid Martinjak_3,,Martin Verčič_3,Eva Franko_8,Mark Ažman_6,Brina Mediževec_1,Martin Jocif_9,
Špela Bergant_4,Rebeka Rupar_2,Jaka Logonder_5,,,,Jakob Segulin_4,,,Nuša Bergant_2,Sara Štefelin_6,Eva Segulin_2,Ajda Jugovic_6,,Nace Ravnikar_7,Nika Potočnik_8,Patricija Ravnikar_4,Nuša Bergant_2,,,Jakob Segulin_4,Ajda Jugovic_6,Eva Markun_8,,,Gašper Bogataj_6,Jernej Prevodnik_2,Vid Martinjak_3,,Pija Porenta_6,Vid Markun_5,Eva Družinec_9,Ana Štefančič_1,Zea Juhant_3,,Urška Verčič_1,Anže Mravlja_8,Teja Jezeršek_6,Rebeka Rupar_2,Zala Križnar_5,
Urban Poretna_3,Martina Rupar_4,Ema Jugovic_9,,,,Žana Žontar_3,,,Neža Žargi_3,Enej Štefelin_3,Urška Verčič_1,,,,Eva Franko_8,Sara Potočnik_2,Špela Bergant_4,,,Martin Verčič_3,,,,,Tjaš Cegnar_5,Val Korenčič_1,Andrej Škrabec_4,,Mark Ažman_6,,Neža Žargi_3,,Zala Kajba_5,,Leja Mravlja_8,Martin Kolenko_6,Jakob Segulin_4,Martina Rupar_4,Sara Potočnik_2,
Mark Ažman_6,Jernej Prevodnik_2,Vid Markun_5,,,,Miha Triler_3,,,Eva Segulin_2,Eva Jamnik_6,Nika Kermelj_5,,,,Anže Mravlja_8,Peter Štefančič_4,Lina Šabec_8,,,Jerca Trilar_2,,,,,Peter Štefančič_4,Lan Korenčič_8,Hana Segulin_6,,Pia Sušnik Selak_5,,Monik Grom_6,,Hana Segulin_6,,Luka Eržen_5,Gašper Bogataj_6,Manca Potočnik_8,Enej Štefelin_3,Žana Žontar_3,
